  1   2   3   4   5   6   7   8   9
  2   1   2   3   4   5   6   7   8
  3   2   1   2   3   4   5   6   7
  4   3   2   1   2   3   4   5   6
  5   4   3   2   1   2   3   4   5
  6   5   4   3   2   1   2   3   4
  7   6   5   4   3   2   1   2   3
  8   7   6   5   4   3   2   1   2
  9   8   7   6   5   4   3   2   1

  1   2   3   4   5   6   7   8   9  10
  2   1   2   3   4   5   6   7   8   9
  3   2   1   2   3   4   5   6   7   8
  4   3   2   1   2   3   4   5   6   7
  5   4   3   2   1   2   3   4   5   6
  6   5   4   3   2   1   2   3   4   5
  7   6   5   4   3   2   1   2   3   4
  8   7   6   5   4   3   2   1   2   3
  9   8   7   6   5   4   3   2   1   2
 10   9   8   7   6   5   4   3   2   1

